id;street_address;postal_code;city
1;Secured Program;the program Ghana;West Hopefort
2;Soft Colombia;installation International generating;Port Taniafort
3;connecting;Gold harness;Lake Oswald
4;District;Reverse-engineered;Charlottesville
5;Granite;hour Savings leading-edge;Stratford
6;Concrete Islands;up Licensed Forward;Waldorf
7;Mali Checking Pizza;open-source e-services;Madison
8;Exclusive cutting-edge;compelling Beauty;Easterton
9;Principal mobile;infomediaries Guadeloupe Licensed;Macejkovicport
10;JBOD;calculating Jewelery;South Jalonfort
